2013 Tournament:
Batch,
0, 5, 2, 4, 2, 3, 
1, 5, 0, 1, 5, 0, 
2, 7, 0, 4, 4, 5, 
3, 3, 2, 0, 5, 3, 
4, 0, 1, 3, 4, 1, 
5, 2, 1, 3, 3, 2, 
6, 6, 3, 0, 3, 3, 
7, 2, 1, 3, 2, 4, 
8, 3, 2, 2, 2, 2, 
9, 2, 0, 3, 0, 1, 
10, 9, 1, 7, 2, 0, 
11, 2, 4, 3, 4, 4, 
12, 2, 0, 3, 4, 1, 
13, 4, 2, 2, 2, 2, 
14, 2, 0, 2, 2, 1, 
15, 7, 0, 2, 3, 1, 
16, 7, 0, 4, 0, 4, 
17, 4, 1, 5, 2, 1, 
18, 3, 1, 4, 2, 1, 
19, 1, 0, 1, 1, 2, 
20, 2, 1, 0, 2, 1, 
21, 5, 0, 2, 1, 1, 
22, 5, 2, 2, 2, 1, 
23, 2, 1, 1, 2, 1, 
24, 8, 0, 2, 1, 4, 
mean, 3.92, 1.0, 2.52, 2.4, 1.96
var, 5.660000000000001, 1.1666666666666667, 2.676666666666667, 1.8333333333333328, 1.9566666666666663

2014 Tournament:
Batch,
0, 0, 1, 0, 0, 1, 
1, 0, 0, 0, 0, 0, 
2, 0, 1, 0, 0, 0, 
3, 0, 1, 0, 0, 0, 
4, 0, 1, 0, 0, 0, 
5, 0, 1, 0, 0, 0, 
6, 0, 1, 0, 0, 2, 
7, 0, 1, 1, 0, 0, 
8, 0, 0, 1, 0, 0, 
9, 0, 0, 0, 0, 0, 
10, 0, 0, 0, 1, 1, 
11, 0, 0, 0, 1, 0, 
12, 0, 0, 1, 0, 1, 
13, 0, 1, 0, 0, 1, 
14, 0, 0, 0, 2, 0, 
15, 0, 0, 1, 1, 0, 
16, 0, 0, 0, 1, 1, 
17, 0, 1, 1, 0, 0, 
18, 0, 0, 0, 0, 0, 
19, 0, 2, 1, 0, 0, 
20, 0, 1, 0, 0, 0, 
21, 0, 0, 2, 0, 0, 
22, 1, 1, 1, 0, 0, 
23, 0, 0, 0, 0, 1, 
24, 0, 0, 2, 0, 0, 
mean, 0.04, 0.52, 0.44, 0.24, 0.32
var, 0.04, 0.3433333333333335, 0.42333333333333334, 0.2733333333333333, 0.31000000000000005

2015 Tournament:
Batch,
0, 0, 0, 0, 0, 0, 
1, 0, 0, 0, 0, 0, 
2, 0, 0, 0, 0, 0, 
3, 0, 0, 0, 0, 0, 
4, 0, 0, 0, 0, 0, 
5, 0, 0, 0, 0, 0, 
6, 0, 0, 0, 0, 0, 
