2013 Tournament:,,,,,,,,,
Batch,,,,,,,,,
3,11, ,17, ,11, ,2, ,2
4,10, ,14, ,4, ,2, ,4
5,12, ,6, ,6, ,1, ,5
6,11, ,12, ,7, ,1, ,2
7,10, ,10, ,9, ,3, ,3
8,16, ,3, ,7, ,1, ,2
9,10, ,10, ,5, ,0, ,5
10,6, ,12, ,6, ,2, ,3
11,14, ,15, ,8, ,1, ,5
12,12, ,12, ,6, ,2, ,3
13,12, ,10, ,6, ,1, ,7
14,7, ,9, ,7, ,3, ,8
15,9, ,8, ,6, ,2, ,3
16,9, ,12, ,8, ,5, ,6
17,14, ,7, ,6, ,2, ,4
18,8, ,10, ,4, ,3, ,0
19,6, ,14, ,8, ,0, ,0
20,13, ,7, ,8, ,4, ,9
21,10, ,9, ,10, ,2, ,1
22,7, ,8, ,8, ,3, ,6
23,8, ,10, ,7, ,2, ,1
24,8, ,11, ,6, ,2, ,2
,,,,,,,,,
