2013 Tournament:,,,,,,,,,,
Batch,,,,,,,,,,
22,1640, ,1670, ,1640, ,1660, ,1680, 
23,1640, ,1700, ,1680, ,1650, ,1780, 
24,1650, ,1640, ,1700, ,1710, ,1640, 
,,,,,,,,,,
2017 Tournament:,,,,,,,,,,
Batch,,,,,,,,,,
0,1710, ,1670, ,1790, ,1740, ,1730, 
1,1720, ,1720, ,1690, ,1680, ,1690, 
2,1750, ,1680, ,1780, ,1710, ,1720, 
3,1670, ,1710, ,1690, ,1690, ,1690, 
4,1670, ,1680, ,1730, ,1700, ,1660, 
5,1700, ,1690, ,1730, ,1650, ,1660, 
6,1710, ,1630, ,1710, ,1640, ,1710, 
7,1680, ,1640, ,1680, ,1700, ,1670, 
8,1650, ,1690, ,1710, ,1660, ,1650, 
9,1710, ,1720, ,1670, ,1650, ,1700, 
10,1720, ,1680, ,1680, ,1690, ,1690, 
11,1730, ,1680, ,1680, ,1670, ,1690, 
12,1700, ,1660, ,1730, ,1690, ,1730, 
13,1700, ,1720, ,1700, ,1690, ,1720, 
14,1670, ,1680, ,1720, ,1640, ,1730, 
15,1710, ,1660, ,1690, ,1730, ,1660, 
16,1680, ,1690, ,1700, ,1720, ,1710, 
17,1700, ,1680, ,1730, ,1710, ,1680, 
18,1740, ,1730, ,1680, ,1630, ,1720, 
19,1670, ,1790, ,1690, ,1700, ,1730, 
20,1700, ,1740, ,1750, ,1690, ,1690, 
21,1700, ,1650, ,1720, ,1700, ,1670, 
22,1720, ,1680, ,1680, ,1690, ,1670, 
23,1730, ,1680, ,1720, ,1680, ,1650, 
24,1730, ,1690, ,1710, ,1690, ,1750, 
,,,,,,,,,,
2018 Tournament:,,,,,,,,,,
Batch,,,,,,,,,,
0,1640, ,1680, ,1600, ,1570, ,1590, 
1,1600, ,1640, ,1570, ,1560, ,1550, 
2,1660, ,1610, ,1670, ,1550, ,1610, 
3,1630, ,1620, ,1650, ,1600, ,1620, 
4,1560, ,1660, ,1580, ,1590, ,1640, 
5,1580, ,1640, ,1640, ,1570, ,1590, 
6,1600, ,1620, ,1640, ,1580, ,1630, 
7,1640, ,1660, ,1620, ,1560, ,1600, 
8,1640, ,1610, ,1600, ,1560, ,1600, 
9,1590, ,1650, ,1630, ,1580, ,1640, 
10,1670, ,1660, ,1580, ,1590, ,1590, 
11,1600, ,1610, ,1610, ,1640, ,1660, 
12,1610, ,1610, ,1580, ,1540, ,1670, 
13,1630, ,1700, ,1630, ,1530, ,1580, 
14,1610, ,1630, ,1580, ,1590, ,1600, 
15,1610, ,1600, ,1640, ,1550, ,1610, 
16,1620, ,1650, ,1580, ,1570, ,1590, 
17,1660, ,1620, ,1620, ,1600, ,1680, 
18,1620, ,1620, ,1620, ,1600, ,1610, 
19,1570, ,1630, ,1610, ,1640, ,1620, 
20,1630, ,1630, ,1660, ,1580, ,1580, 
21,1630, ,1640, ,1650, ,1660, ,1550, 
22,1600, ,1580, ,1630, ,1580, ,1630, 
23,1580, ,1680, ,1660, ,1600, ,1600, 
24,1670, ,1690, ,1650, ,1580, ,1660, 
,,,,,,,,,,
