2013 Tournament:
Batch,
19, 1630, , 1680, , 1670, , 1690, , 1620, , 
20, 1610, , 1720, , 1640, , 1680, , 1690, , 
21, 1620, , 1670, , 1740, , 1730, , 1640, , 
22, 1670, , 1700, , 1640, , 1630, , 1640, , 
23, 1690, , 1700, , 1700, , 1610, , 1660, , 
24, 1640, , 1610, , 1750, , 1650, , 1690, , 

2017 Tournament:
Batch,
0, 1700, , 1710, , 1720, , 1690, , 1710, , 
1, 1700, , 1720, , 1740, , 1710, , 1750, , 
2, 1720, , 1790, , 1690, , 1700, , 1700, , 
3, 1710, , 1760, , 1730, , 1710, , 1710, , 
4, 1750, , 1720, , 1680, , 1700, , 1710, , 
5, 1670, , 1740, , 1740, , 1740, , 1680, , 
6, 1730, , 1670, , 1730, , 1730, , 1700, , 
7, 1690, , 1730, , 1740, , 1650, , 1720, , 
8, 1700, , 1700, , 1700, , 1700, , 1740, , 
9, 1700, , 1690, , 1710, , 1670, , 1720, , 
10, 1770, , 1740, , 1780, , 1720, , 1680, , 
11, 1730, , 1710, , 1720, , 1700, , 1680, , 
12, 1800, , 1700, , 1740, , 1740, , 1690, , 
13, 1660, , 1760, , 1810, , 1770, , 1690, , 
14, 1740, , 1700, , 1680, , 1690, , 1720, , 
15, 1750, , 1750, , 1710, , 1700, , 1720, , 
16, 1710, , 1730, , 1680, , 1650, , 1740, , 
17, 1730, , 1700, , 1690, , 1730, , 1700, , 
18, 1740, , 1680, , 1710, , 1670, , 1700, , 
19, 1680, , 1770, , 1720, , 1740, , 1700, , 
20, 1670, , 1770, , 1730, , 1720, , 1730, , 
21, 1720, , 1750, , 1750, , 1660, , 1700, , 
22, 1770, , 1730, , 1760, , 1720, , 1720, , 
23, 1720, , 1700, , 1740, , 1640, , 1730, , 
24, 1710, , 1740, , 1790, , 1720, , 1750, , 

2018 Tournament:
Batch,
0, 1610, , 1680, , 1580, , 1590, , 1570, , 
1, 1620, , 1620, , 1630, , 1600, , 1640, , 
2, 1620, , 1630, , 1650, , 1620, , 1570, , 
3, 1640, , 1640, , 1660, , 1590, , 1570, , 
4, 1620, , 1670, , 1610, , 1570, , 1580, , 
5, 1640, , 1630, , 1600, , 1570, , 1560, , 
6, 1640, , 1620, , 1670, , 1610, , 1620, , 
7, 1610, , 1610, , 1620, , 1600, , 1550, , 
8, 1660, , 1670, , 1580, , 1660, , 1590, , 
9, 1620, , 1640, , 1620, , 1590, , 1580, , 
10, 1610, , 1630, , 1560, , 1600, , 1580, , 
11, 1650, , 1620, , 1620, , 1540, , 1580, , 
12, 1630, , 1590, , 1620, , 1620, , 1640, , 
13, 1660, , 1580, , 1640, , 1550, , 1610, , 
14, 1650, , 1610, , 1580, , 1590, , 1600, , 
15, 1630, , 1650, , 1610, , 1670, , 1560, , 
16, 1640, , 1650, , 1640, , 1610, , 1660, , 
17, 1610, , 1650, , 1650, , 1630, , 1620, , 
18, 1640, , 1620, , 1680, , 1560, , 1600, , 
19, 1640, , 1660, , 1610, , 1550, , 1610, , 
20, 1660, , 1620, , 1630, , 1620, , 1670, , 
21, 1620, , 1600, , 1630, , 1630, , 1650, , 
22, 1570, , 1640, , 1630, , 1590, , 1600, , 
23, 1670, , 1620, , 1590, , 1580, , 1670, , 
24, 1630, , 1670, , 1630, , 1610, , 1610, , 

