RegionHex,Log-Likelihood,Likelihood
0x04d4,-15.1726,2.57409E-07
0x2fff,-15.173,2.57306E-07
0x721f,-15.1732,2.57254E-07
0x433a,-15.1732,2.57254E-07
0x379b,-15.1734,2.57203E-07
0x3bf7,-15.1737,2.57126E-07
0x648a,-15.174,2.57049E-07
0x2b0d,-15.1742,2.56997E-07
0x5835,-15.1743,2.56972E-07
0x00a4,-15.1746,2.56895E-07
0x24a5,-15.1747,2.56869E-07
0x4351,-15.1748,2.56843E-07
0x4929,-15.1752,2.5674E-07
0x2bec,-15.1753,2.56715E-07
0x621f,-15.1755,2.56663E-07
0x279b,-15.1757,2.56612E-07
0x16d3,-15.176,2.56535E-07
0x4d05,-15.177,2.56279E-07
0x3cd8,-15.177,2.56279E-07
0x2cc5,-15.1772,2.56228E-07
0x0aef,-15.1773,2.56202E-07
0x515a,-15.1776,2.56125E-07
0x0ebd,-15.1779,2.56048E-07
0x06d3,-15.1783,2.55946E-07
0x26eb,-15.1784,2.5592E-07
0x2bb3,-15.1789,2.55792E-07
0x0882,-15.1794,2.55664E-07
0x332f,-15.1799,2.55537E-07
0x415a,-15.18,2.55511E-07
0x136b,-15.1804,2.55409E-07
0x7601,-15.1806,2.55358E-07
0x5334,-15.1807,2.55332E-07
0x18b7,-15.1808,2.55307E-07
0x35fb,-15.1809,2.55281E-07
0x1180,-15.1811,2.5523E-07
0x06f6,-15.1812,2.55205E-07
0x480f,-15.1816,2.55103E-07
0x711d,-15.1817,2.55077E-07
0x5c25,-15.1822,2.5495E-07
0x5516,-15.1824,2.54899E-07
0x5430,-15.1824,2.54899E-07
0x18c3,-15.1825,2.54873E-07
0x1798,-15.1828,2.54797E-07
0x7234,-15.1829,2.54771E-07
0x6601,-15.183,2.54746E-07
0x3e32,-15.1831,2.5472E-07
0x25f5,-15.1832,2.54695E-07
0x6d62,-15.1834,2.54644E-07
0x0180,-15.1834,2.54644E-07
0x6a32,-15.1834,2.54644E-07
0x3e1f,-15.1836,2.54593E-07
0x752f,-15.1837,2.54567E-07
0x611d,-15.184,2.54491E-07
0x1da6,-15.1841,2.54466E-07
0x166a,-15.1842,2.5444E-07
0x7351,-15.1844,2.54389E-07
0x336a,-15.1845,2.54364E-07
0x4516,-15.1847,2.54313E-07
0x099d,-15.1847,2.54313E-07
0x2ab6,-15.1848,2.54288E-07
0x322b,-15.185,2.54237E-07
0x09f5,-15.185,2.54237E-07
0x00b5,-15.1851,2.54211E-07
0x0798,-15.1852,2.54186E-07
0x1e32,-15.1855,2.5411E-07
0x433b,-15.1863,2.53906E-07
0x6c06,-15.1866,2.5383E-07
0x60aa,-15.1867,2.53805E-07
0x6351,-15.1867,2.53805E-07
0x1bdd,-15.1868,2.5378E-07
0x1abf,-15.1871,2.53703E-07
0x122b,-15.1874,2.53627E-07
0x00b0,-15.188,2.53475E-07
0x7204,-15.1882,2.53424E-07
0x3af8,-15.1882,2.53424E-07
0x0d8c,-15.1884,2.53374E-07
0x4d06,-15.1889,2.53247E-07
0x1388,-15.1889,2.53247E-07
0x2a9c,-15.189,2.53222E-07
0x4271,-15.1893,2.53146E-07
0x4634,-15.1895,2.53095E-07
0x715a,-15.1896,2.5307E-07
0x38a2,-15.1904,2.52868E-07
0x6204,-15.1905,2.52842E-07
0x18f2,-15.1906,2.52817E-07
0x0388,-15.1913,2.5264E-07
0x6d35,-15.1914,2.52615E-07
0x39ab,-15.1915,2.5259E-07
0x4537,-15.1919,2.52489E-07
0x615a,-15.1919,2.52489E-07
0x2dbd,-15.1919,2.52489E-07
0x1e4e,-15.1922,2.52413E-07
0x32ac,-15.1922,2.52413E-07
0x3b4e,-15.1925,2.52337E-07
0x18a2,-15.1929,2.52236E-07
0x0ebc,-15.1937,2.52034E-07
