"0x5fc5",-5.3414,,1, 9, 5, 4, 6, 3, 7, 2, ,1, 4, 3, 2, ,1, 2, ,1,
"0x7fc5",-5.3534,,1, 8, 5, 4, 6, 3, 7, 2, ,1, 4, 3, 2, ,1, 2, ,1,
"0x5fc4",-5.4454,,1, 9, 5, 4, 6, 3, 7, 2, ,1, 4, 3, 2, ,1, 2, ,2,
"0x7fc4",-5.4574,,1, 8, 5, 4, 6, 3, 7, 2, ,1, 4, 3, 2, ,1, 2, ,2,
"0x5fe5",-5.5320,,1, 9, 5, 4, 6, 3, 7, 2, ,1, 5, 3, 2, ,1, 2, ,1,
"0x7fe5",-5.5439,,1, 8, 5, 4, 6, 3, 7, 2, ,1, 5, 3, 2, ,1, 2, ,1,
"0x4fc5",-5.6098,,1, 9, 12, 4, 6, 3, 7, 2, ,1, 4, 3, 2, ,1, 2, ,1,
"0x6fc5",-5.6218,,1, 8, 12, 4, 6, 3, 7, 2, ,1, 4, 3, 2, ,1, 2, ,1,
"0x5fe4",-5.6360,,1, 9, 5, 4, 6, 3, 7, 2, ,1, 5, 3, 2, ,1, 2, ,2,
"0x7fe4",-5.6479,,1, 8, 5, 4, 6, 3, 7, 2, ,1, 5, 3, 2, ,1, 2, ,2,
"0x5fc7",-5.6618,,1, 9, 5, 4, 6, 3, 7, 2, ,1, 4, 3, 2, ,1, 3, ,1,
"0x7fc7",-5.6737,,1, 8, 5, 4, 6, 3, 7, 2, ,1, 4, 3, 2, ,1, 3, ,1,
"0x5ec5",-5.6784,,1, 9, 5, 4, 6, 3, 10, 2, ,1, 4, 3, 2, ,1, 2, ,1,
"0x7ec5",-5.6903,,1, 8, 5, 4, 6, 3, 10, 2, ,1, 4, 3, 2, ,1, 2, ,1,
"0x5bc5",-5.7076,,1, 9, 5, 4, 11, 3, 7, 2, ,1, 4, 3, 2, ,1, 2, ,1,
"0x4fc4",-5.7138,,1, 9, 12, 4, 6, 3, 7, 2, ,1, 4, 3, 2, ,1, 2, ,2,
"0x7bc5",-5.7196,,1, 8, 5, 4, 11, 3, 7, 2, ,1, 4, 3, 2, ,1, 2, ,1,
"0x6fc4",-5.7258,,1, 8, 12, 4, 6, 3, 7, 2, ,1, 4, 3, 2, ,1, 2, ,2,
"0x5ec4",-5.7823,,1, 9, 5, 4, 6, 3, 10, 2, ,1, 4, 3, 2, ,1, 2, ,2,
"0x7ec4",-5.7943,,1, 8, 5, 4, 6, 3, 10, 2, ,1, 4, 3, 2, ,1, 2, ,2,
"0x5bc4",-5.8116,,1, 9, 5, 4, 11, 3, 7, 2, ,1, 4, 3, 2, ,1, 2, ,2,
"0x7bc4",-5.8235,,1, 8, 5, 4, 11, 3, 7, 2, ,1, 4, 3, 2, ,1, 2, ,2,
"0x5fc6",-5.8265,,1, 9, 5, 4, 6, 3, 7, 2, ,1, 4, 3, 2, ,1, 3, ,3,
"0x7fc6",-5.8385,,1, 8, 5, 4, 6, 3, 7, 2, ,1, 4, 3, 2, ,1, 3, ,3,
"0x5fe7",-5.8523,,1, 9, 5, 4, 6, 3, 7, 2, ,1, 5, 3, 2, ,1, 3, ,1,
"0x5fd5",-5.8568,,1, 9, 5, 4, 6, 3, 7, 2, ,1, 4, 6, 2, ,1, 2, ,1,
"0x7fe7",-5.8643,,1, 8, 5, 4, 6, 3, 7, 2, ,1, 5, 3, 2, ,1, 3, ,1,
"0x7fd5",-5.8688,,1, 8, 5, 4, 6, 3, 7, 2, ,1, 4, 6, 2, ,1, 2, ,1,
"0x5ee5",-5.8689,,1, 9, 5, 4, 6, 3, 10, 2, ,1, 5, 3, 2, ,1, 2, ,1,
"0x7ee5",-5.8809,,1, 8, 5, 4, 6, 3, 10, 2, ,1, 5, 3, 2, ,1, 2, ,1,
"0x5be5",-5.8981,,1, 9, 5, 4, 11, 3, 7, 2, ,1, 5, 3, 2, ,1, 2, ,1,
"0x7be5",-5.9101,,1, 8, 5, 4, 11, 3, 7, 2, ,1, 5, 3, 2, ,1, 2, ,1,
"0x4fc7",-5.9302,,1, 9, 12, 4, 6, 3, 7, 2, ,1, 4, 3, 2, ,1, 3, ,1,
"0x6fc7",-5.9421,,1, 8, 12, 4, 6, 3, 7, 2, ,1, 4, 3, 2, ,1, 3, ,1,
"0x4ec5",-5.9468,,1, 9, 12, 4, 6, 3, 10, 2, ,1, 4, 3, 2, ,1, 2, ,1,
"0x6ec5",-5.9587,,1, 8, 12, 4, 6, 3, 10, 2, ,1, 4, 3, 2, ,1, 2, ,1,
"0x5fd4",-5.9608,,1, 9, 5, 4, 6, 3, 7, 2, ,1, 4, 6, 2, ,1, 2, ,2,
"0x7fd4",-5.9727,,1, 8, 5, 4, 6, 3, 7, 2, ,1, 4, 6, 2, ,1, 2, ,2,
"0x5ee4",-5.9729,,1, 9, 5, 4, 6, 3, 10, 2, ,1, 5, 3, 2, ,1, 2, ,2,
"0x4bc5",-5.9760,,1, 9, 12, 4, 11, 3, 7, 2, ,1, 4, 3, 2, ,1, 2, ,1,
"0x7ee4",-5.9849,,1, 8, 5, 4, 6, 3, 10, 2, ,1, 5, 3, 2, ,1, 2, ,2,
"0x6bc5",-5.9880,,1, 8, 12, 4, 11, 3, 7, 2, ,1, 4, 3, 2, ,1, 2, ,1,
"0x5ec7",-5.9987,,1, 9, 5, 4, 6, 3, 10, 2, ,1, 4, 3, 2, ,1, 3, ,1,
"0x5be4",-6.0021,,1, 9, 5, 4, 11, 3, 7, 2, ,1, 5, 3, 2, ,1, 2, ,2,
